"Label","ID","Spot N links","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," "," "," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","X","Y","Z"," "," "," "," "
"","","","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(µm)","(µm)","(µm)","(Counts)","(µm)","",""
"0","0","1","3655.2889519309742","32","4392.60291005291","2320.9239330223386","1654.0","15808.0","3782.0","1.6604039E7","110.0138840378549","111.34202914826498","150.6562018927445","4790.615384615385","5.0","0","33"
"1","1","2","4399.75060246075","31","5011.562962962963","2784.3571002121253","2117.0","17876.0","4037.0","1.8943708E7","109.28510831713984","110.41305333333332","148.96243802902208","5183.628205128205","5.0","0","33"
"2","2","2","4459.214964717374","30","5220.921610169492","2949.314797729308","1896.0","18986.0","4326.0","1.97142E7","111.60754785446898","111.8065170557308","148.96243802902208","5735.541401273886","5.0","0","33"
"3","3","2","4010.5989775417966","29","4787.069011105235","2608.346198816853","1644.0","17465.0","4023.0","1.8104695E7","109.28510831713984","110.87754124079915","148.96243802902208","5211.4331210191085","5.0","0","33"
"4","4","2","4009.308407696801","28","4401.397082228117","1825.8491673455653","1050.0","14765.0","4193.0","1.6593267E7","110.67857203953733","110.87754124079915","148.96243802902208","4750.386075949367","5.0","0","33"
"5","5","2","3962.94923399916","27","4405.416048728814","1559.0988740008042","1535.0","12332.0","4133.0","1.6634851E7","110.67857203953733","111.34202914826497","148.96243802902208","4774.389937106918","5.0","0","33"
"6","6","2","4805.575200776943","26","5303.19178807947","2528.1590455934406","2357.0","18438.0","4604.0","2.0019549E7","111.14305994700314","113.6644686855941","148.96243802902208","5544.981012658228","5.0","0","33"
"7","7","2","4208.488827613336","25","4827.179704016913","2325.3524146772816","1922.0","20216.0","4345.0","1.8266048E7","110.21408413207149","115.98690822292323","148.96243802902208","5192.716129032258","5.0","0","33"
