"Label","ID","Spot N links","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," "," "," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","X","Y","Z"," "," "," "," "
"","","","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(µm)","(µm)","(µm)","(Counts)","(µm)","",""
"0","0","1","3655.2889519309742","32","4392.60291005291","2320.9239330223386","1654.0","15808.0","3782.0","1.6604039E7","160.32163799615694","98.48063316709582","172.6406300014244","4790.615384615385","5.0","0","33"
"1","1","2","4399.75060246075","31","5011.562962962963","2784.3571002121253","2117.0","17876.0","4037.0","1.8943708E7","160.32163799615694","98.48063316709582","172.6406300014244","5183.628205128205","5.0","0","33"
"2","2","2","4459.214964717374","30","5220.921610169492","2949.314797729308","1896.0","18986.0","4326.0","1.97142E7","160.32163799615694","100.29418521756901","172.6406300014244","5735.541401273886","5.0","0","33"
"3","3","2","4010.5989775417966","29","4787.069011105235","2608.346198816853","1644.0","17465.0","4023.0","1.8104695E7","160.77502600877523","100.7475732301873","172.6406300014244","5211.4331210191085","5.0","0","33"
"4","4","2","4009.308407696801","28","4401.397082228117","1825.8491673455653","1050.0","14765.0","4193.0","1.6593267E7","164.4021301097216","101.20096124280559","172.6406300014244","4750.386075949367","5.0","0","33"
"5","5","2","3962.94923399916","27","4405.416048728814","1559.0988740008042","1535.0","12332.0","4133.0","1.6634851E7","164.4021301097216","102.56112528066049","172.6406300014244","4774.389937106918","5.0","0","33"
"6","6","2","4805.575200776943","26","5303.19178807947","2528.1590455934406","2357.0","18438.0","4604.0","2.0019549E7","162.58857805924842","102.56112528066049","172.6406300014244","5544.981012658228","5.0","0","33"
"7","7","2","4208.488827613336","25","4827.179704016913","2325.3524146772816","1922.0","20216.0","4345.0","1.8266048E7","162.58857805924842","102.1077372680422","172.6406300014244","5192.716129032258","5.0","0","33"
